nummer,thema,kundensatz,antwort_des_assistenten,fallkennung
1,Preisfrage,Was kostet mich das denn?,Nach den vorliegenden Informationen liegt das Starter-Paket bei 29 Euro pro Nutzer und Monat. Die genauen Bedingungen sende ich Ihnen schriftlich. In diesem Gespräch geht es nicht um Zahlung oder Vertragsabschluss.,source-informed-de-price_first-001
2,Preisfrage,Mit welchen Kosten muss ich da rechnen?,Nach den vorliegenden Informationen liegt das Starter-Paket bei 29 Euro pro Nutzer und Monat. Die genauen Bedingungen sende ich Ihnen schriftlich. In diesem Gespräch geht es nicht um Zahlung oder Vertragsabschluss.,source-informed-de-price_first-002
3,Preisfrage,Was kommt da monatlich auf mich zu?,Nach den vorliegenden Informationen liegt das Starter-Paket bei 29 Euro pro Nutzer und Monat. Die genauen Bedingungen sende ich Ihnen schriftlich. In diesem Gespräch geht es nicht um Zahlung oder Vertragsabschluss.,source-informed-de-price_first-003
4,Preisfrage,Was kostet mich das denn?,Nach den vorliegenden Informationen liegt das Starter-Paket bei 29 Euro pro Nutzer und Monat. Die genauen Bedingungen sende ich Ihnen schriftlich. In diesem Gespräch geht es nicht um Zahlung oder Vertragsabschluss.,source-informed-interp-de-price_first-001
5,Preisfrage,Mit welchen Kosten muss ich da rechnen?,Nach den vorliegenden Informationen liegt das Starter-Paket bei 29 Euro pro Nutzer und Monat. Die genauen Bedingungen sende ich Ihnen schriftlich. In diesem Gespräch geht es nicht um Zahlung oder Vertragsabschluss.,source-informed-interp-de-price_first-002
6,Preisfrage,Was kommt da monatlich auf mich zu?,Nach den vorliegenden Informationen liegt das Starter-Paket bei 29 Euro pro Nutzer und Monat. Die genauen Bedingungen sende ich Ihnen schriftlich. In diesem Gespräch geht es nicht um Zahlung oder Vertragsabschluss.,source-informed-interp-de-price_first-003
7,Preisfrage,Was kostet mich das denn?,Nach den vorliegenden Informationen liegt das Starter-Paket bei 29 Euro pro Nutzer und Monat. Die genauen Bedingungen sende ich Ihnen schriftlich. In diesem Gespräch geht es nicht um Zahlung oder Vertragsabschluss.,source-informed-interp-legacy-de-price_first-001
8,Preisfrage,Mit welchen Kosten muss ich da rechnen?,Nach den vorliegenden Informationen liegt das Starter-Paket bei 29 Euro pro Nutzer und Monat. Die genauen Bedingungen sende ich Ihnen schriftlich. In diesem Gespräch geht es nicht um Zahlung oder Vertragsabschluss.,source-informed-interp-legacy-de-price_first-002
9,Preisfrage,Was kommt da monatlich auf mich zu?,Nach den vorliegenden Informationen liegt das Starter-Paket bei 29 Euro pro Nutzer und Monat. Die genauen Bedingungen sende ich Ihnen schriftlich. In diesem Gespräch geht es nicht um Zahlung oder Vertragsabschluss.,source-informed-interp-legacy-de-price_first-003
10,Wer ruft an?,Wer ist denn da?,"Hier ist Maya von RouteSignal. Ich rufe an, weil wir kurz klären möchten, wer bei Ihnen für Rückrufe und Nachverfolgung zuständig ist. Wenn das für Sie nicht relevant ist, beende ich den Anruf.",source-informed-de-who_are_you-001
11,Wer ruft an?,Von welcher Firma rufen Sie an?,"Hier ist Maya von RouteSignal. Ich rufe an, weil wir kurz klären möchten, wer bei Ihnen für Rückrufe und Nachverfolgung zuständig ist. Wenn das für Sie nicht relevant ist, beende ich den Anruf.",source-informed-de-who_are_you-002
12,Wer ruft an?,Worum geht es hier überhaupt?,"Hier ist Maya von RouteSignal. Ich rufe an, weil wir kurz klären möchten, wer bei Ihnen für Rückrufe und Nachverfolgung zuständig ist. Wenn das für Sie nicht relevant ist, beende ich den Anruf.",source-informed-de-who_are_you-003
13,Wer ruft an?,Wer ist denn da?,"Hier ist Maya von RouteSignal. Ich rufe an, weil wir kurz klären möchten, wer bei Ihnen für Rückrufe und Nachverfolgung zuständig ist. Wenn das für Sie nicht relevant ist, beende ich den Anruf.",source-informed-interp-de-who_are_you-001
14,Wer ruft an?,Von welcher Firma rufen Sie an?,"Hier ist Maya von RouteSignal. Ich rufe an, weil wir kurz klären möchten, wer bei Ihnen für Rückrufe und Nachverfolgung zuständig ist. Wenn das für Sie nicht relevant ist, beende ich den Anruf.",source-informed-interp-de-who_are_you-002
15,Wer ruft an?,Worum geht es hier überhaupt?,"Hier ist Maya von RouteSignal. Ich rufe an, weil wir kurz klären möchten, wer bei Ihnen für Rückrufe und Nachverfolgung zuständig ist. Wenn das für Sie nicht relevant ist, beende ich den Anruf.",source-informed-interp-de-who_are_you-003
16,Wer ruft an?,Wer ist denn da?,"Hier ist Maya von RouteSignal. Ich rufe an, weil wir kurz klären möchten, wer bei Ihnen für Rückrufe und Nachverfolgung zuständig ist. Wenn das für Sie nicht relevant ist, beende ich den Anruf.",source-informed-interp-legacy-de-who_are_you-001
17,Wer ruft an?,Von welcher Firma rufen Sie an?,"Hier ist Maya von RouteSignal. Ich rufe an, weil wir kurz klären möchten, wer bei Ihnen für Rückrufe und Nachverfolgung zuständig ist. Wenn das für Sie nicht relevant ist, beende ich den Anruf.",source-informed-interp-legacy-de-who_are_you-002
18,Wer ruft an?,Worum geht es hier überhaupt?,"Hier ist Maya von RouteSignal. Ich rufe an, weil wir kurz klären möchten, wer bei Ihnen für Rückrufe und Nachverfolgung zuständig ist. Wenn das für Sie nicht relevant ist, beende ich den Anruf.",source-informed-interp-legacy-de-who_are_you-003
19,Schriftliche Informationen,Schicken Sie mir das bitte schriftlich.,Ich sende Ihnen gern eine kurze Zusammenfassung per E-Mail und belasse es dabei.,source-informed-de-send_info-001
20,Schriftliche Informationen,Können Sie mir die Unterlagen per Mail senden?,Ich sende Ihnen gern eine kurze Zusammenfassung per E-Mail und belasse es dabei.,source-informed-de-send_info-002
21,Schriftliche Informationen,Senden Sie mir erst mal die Infos zu.,Ich sende Ihnen gern eine kurze Zusammenfassung per E-Mail und belasse es dabei.,source-informed-de-send_info-003
22,Nur E-Mail,Bitte nur per E-Mail.,Verstanden. Ich sende Ihnen die Informationen per E-Mail und dränge nicht auf ein Telefonat.,source-informed-de-email_only-001
23,Nur E-Mail,"Rufen Sie mich nicht an, schicken Sie es per Mail.",Verstanden. Ich sende Ihnen die Informationen per E-Mail und dränge nicht auf ein Telefonat.,source-informed-de-email_only-002
24,Nur E-Mail,"Wenn überhaupt, dann per Mail.",Verstanden. Ich sende Ihnen die Informationen per E-Mail und dränge nicht auf ein Telefonat.,source-informed-de-email_only-003
25,Betrugsangst,"Woher weiß ich, dass das seriös ist?","Ich frage in diesem Gespräch nicht nach Zahlungsdaten, Kartendaten oder Passwörtern. Sie können die Informationen über die offizielle Seite prüfen. Ich sende Ihnen dazu schriftliche Informationen.",source-informed-de-scam_or_card_fear-001
