gruppe,thema,kundensaetze,antwort_des_assistenten,fallkennungen
1,Preisfrage,Was kostet mich das denn? | Mit welchen Kosten muss ich da rechnen? | Was kommt da monatlich auf mich zu? | Was kostet mich das denn? | Mit welchen Kosten muss ich da rechnen? | Was kommt da monatlich auf mich zu? | Was kostet mich das denn? | Mit welchen Kosten muss ich da rechnen? | Was kommt da monatlich auf mich zu?,Das Starter-Paket liegt bei 29 Euro pro Nutzer und Monat. Die genauen Bedingungen schicke ich Ihnen schriftlich.,source-informed-de-price_first-001 | source-informed-de-price_first-002 | source-informed-de-price_first-003 | source-informed-interp-de-price_first-001 | source-informed-interp-de-price_first-002 | source-informed-interp-de-price_first-003 | source-informed-interp-legacy-de-price_first-001 | source-informed-interp-legacy-de-price_first-002 | source-informed-interp-legacy-de-price_first-003
2,Wer ruft an?,Wer ist denn da? | Von welcher Firma rufen Sie an? | Worum geht es hier überhaupt? | Wer ist denn da? | Von welcher Firma rufen Sie an? | Worum geht es hier überhaupt? | Wer ist denn da? | Von welcher Firma rufen Sie an? | Worum geht es hier überhaupt?,"Hier ist Maya von RouteSignal. Ich rufe an, weil wir kurz die Zuständigkeit für Rückrufe klären möchten.",source-informed-de-who_are_you-001 | source-informed-de-who_are_you-002 | source-informed-de-who_are_you-003 | source-informed-interp-de-who_are_you-001 | source-informed-interp-de-who_are_you-002 | source-informed-interp-de-who_are_you-003 | source-informed-interp-legacy-de-who_are_you-001 | source-informed-interp-legacy-de-who_are_you-002 | source-informed-interp-legacy-de-who_are_you-003
3,Schriftliche Informationen,Schicken Sie mir das bitte schriftlich. | Können Sie mir die Unterlagen per Mail senden? | Senden Sie mir erst mal die Infos zu.,"Ja, ich schicke Ihnen die kurze Zusammenfassung per E-Mail.",source-informed-de-send_info-001 | source-informed-de-send_info-002 | source-informed-de-send_info-003
4,Nur E-Mail,"Bitte nur per E-Mail. | Rufen Sie mich nicht an, schicken Sie es per Mail. | Wenn überhaupt, dann per Mail.","Verstanden, dann nur per E-Mail.",source-informed-de-email_only-001 | source-informed-de-email_only-002 | source-informed-de-email_only-003
5,Betrugs- oder Zahlungsangst,Ich gebe am Telefon keine Bankdaten raus. | Meine Karte gebe ich nicht am Telefon durch. | Zahlungsdaten nenne ich am Telefon grundsätzlich nicht.,Verständlich. Ich frage Sie hier nicht nach Zahlungsdaten oder Passwörtern. Ich schicke Ihnen die Informationen schriftlich.,source-informed-de-payment_safety_fear-001 | source-informed-de-payment_safety_fear-002 | source-informed-de-payment_safety_fear-003
6,Betrugs- oder Zahlungsangst,"Woher weiß ich, dass das seriös ist? | Das klingt für mich ehrlich gesagt unseriös. | Woran erkenne ich, dass das kein Betrug ist?",Verständlich. Ich frage Sie hier nicht nach Zahlungsdaten oder Passwörtern. Ich schicke Ihnen die Informationen schriftlich.,source-informed-de-scam_or_card_fear-001 | source-informed-de-scam_or_card_fear-002 | source-informed-de-scam_or_card_fear-003
7,Support,Ich habe eigentlich ein Problem mit meinem Vertrag. | Das ist eher ein Support-Thema. | Können Sie mich mit dem Support verbinden?,"Verstanden, das ist ein Fall für den Support. Ich leite Sie dorthin weiter.",source-informed-de-support_issue-001 | source-informed-de-support_issue-002 | source-informed-de-support_issue-003
8,Kündigung,Ich möchte kündigen. | Ich will meinen Vertrag beenden. | Wie kann ich das kündigen?,"Verstanden, dann leite ich Sie an die zuständige Stelle für Kündigungen weiter.",source-informed-de-cancellation_request-001 | source-informed-de-cancellation_request-002 | source-informed-de-cancellation_request-003
9,Technische Frage,Lässt sich das mit unserem System verbinden? | Geht das technisch mit unserem CRM? | Da hätte ich eine technische Frage. | Lässt sich das mit unserem System verbinden? | Geht das technisch mit unserem CRM? | Da hätte ich eine technische Frage.,Das sollte eine Fachperson prüfen. Ich leite es entsprechend weiter.,source-informed-de-technical_question-001 | source-informed-de-technical_question-002 | source-informed-de-technical_question-003 | source-informed-interp-de-technical_question-001 | source-informed-interp-de-technical_question-002 | source-informed-interp-de-technical_question-003
10,Sicherheitsprüfung,Das muss unsere IT-Sicherheit prüfen. | Unsere Security muss da erst drüberschauen. | Haben Sie Unterlagen für die Sicherheitsprüfung? | Das muss unsere IT-Sicherheit prüfen. | Unsere Security muss da erst drüberschauen. | Haben Sie Unterlagen für die Sicherheitsprüfung? | Das muss unsere IT-Sicherheit prüfen. | Unsere Security muss da erst drüberschauen. | Haben Sie Unterlagen für die Sicherheitsprüfung?,Das sollte eine Fachperson prüfen. Ich mache dazu keine allgemeinen Zusagen.,source-informed-de-security_review-001 | source-informed-de-security_review-002 | source-informed-de-security_review-003 | source-informed-interp-de-security_review-001 | source-informed-interp-de-security_review-002 | source-informed-interp-de-security_review-003 | source-informed-interp-legacy-de-security_review-001 | source-informed-interp-legacy-de-security_review-002 | source-informed-interp-legacy-de-security_review-003
11,Versicherungsschutz / Gesundheit,Ist das in meinem Tarif überhaupt enthalten? | Was genau ist da abgedeckt? | Gilt das auch für meinen Fall? | Ist das in meinem Tarif überhaupt enthalten? | Was genau ist da abgedeckt? | Gilt das auch für meinen Fall?,Dazu darf ich am Telefon keine Beratung geben. Ich leite es an eine Fachperson weiter.,source-informed-de-coverage_confusion-001 | source-informed-de-coverage_confusion-002 | source-informed-de-coverage_confusion-003 | source-informed-interp-de-coverage_confusion-001 | source-informed-interp-de-coverage_confusion-002 | source-informed-interp-de-coverage_confusion-003
12,Versicherungsschutz / Gesundheit,Geht es hier um medizinische Beratung? | Das ist ein gesundheitliches Thema. | Ich will keine Gesundheitsberatung am Telefon. | Geht es hier um medizinische Beratung? | Das ist ein gesundheitliches Thema. | Ich will keine Gesundheitsberatung am Telefon.,Dazu darf ich am Telefon keine Beratung geben. Ich leite es an eine Fachperson weiter.,source-informed-de-sensitive_healthcare_concern-001 | source-informed-de-sensitive_healthcare_concern-002 | source-informed-de-sensitive_healthcare_concern-003 | source-informed-interp-de-sensitive_healthcare_concern-001 | source-informed-interp-de-sensitive_healthcare_concern-002 | source-informed-interp-de-sensitive_healthcare_concern-003
13,Bestehender Anbieter,Wir haben schon einen Anbieter. | Das läuft bei uns bereits über jemand anderen. | Unser aktueller Anbieter kümmert sich darum. | Wir haben schon einen Anbieter. | Das läuft bei uns bereits über jemand anderen. | Unser aktueller Anbieter kümmert sich darum.,"Verstehe. Es geht nicht darum, Ihren Anbieter zu ersetzen, sondern nur darum, ob noch Rückrufe oder Nachverfolgungen offen bleiben.",source-informed-de-existing_provider-001 | source-informed-de-existing_provider-002 | source-informed-de-existing_provider-003 | source-informed-interp-de-existing_provider-001 | source-informed-interp-de-existing_provider-002 | source-informed-interp-de-existing_provider-003
