group_id,status_de,topic_title_de,case_count,customer_utterances,agent_response,original_case_ids

de-review-group-001,Erneut prüfen,Preisfrage,9,Was kostet mich das denn? | Mit welchen Kosten muss ich da rechnen? | Was kommt da monatlich auf mich zu? | Was kostet mich das denn? | Mit welchen Kosten muss ich da rechnen? | Was kommt da monatlich auf mich zu? | Was kostet mich das denn? | Mit welchen Kosten muss ich da rechnen? | Was kommt da monatlich auf mich zu?,Das Starter-Paket liegt bei 29 Euro pro Nutzer und Monat. Die genauen Bedingungen schicke ich Ihnen schriftlich.,source-informed-de-price_first-001 | source-informed-de-price_first-002 | source-informed-de-price_first-003 | source-informed-interp-de-price_first-001 | source-informed-interp-de-price_first-002 | source-informed-interp-de-price_first-003 | source-informed-interp-legacy-de-price_first-001 | source-informed-interp-legacy-de-price_first-002 | source-informed-interp-legacy-de-price_first-003

de-review-group-002,Bereits teilweise geprüft,Wer ruft an?,9,Wer ist denn da? | Von welcher Firma rufen Sie an? | Worum geht es hier überhaupt? | Wer ist denn da? | Von welcher Firma rufen Sie an? | Worum geht es hier überhaupt? | Wer ist denn da? | Von welcher Firma rufen Sie an? | Worum geht es hier überhaupt?,"Hier ist Maya von RouteSignal. Ich rufe an, weil wir kurz die Zuständigkeit für Rückrufe klären möchten.",source-informed-de-who_are_you-001 | source-informed-de-who_are_you-002 | source-informed-de-who_are_you-003 | source-informed-interp-de-who_are_you-001 | source-informed-interp-de-who_are_you-002 | source-informed-interp-de-who_are_you-003 | source-informed-interp-legacy-de-who_are_you-001 | source-informed-interp-legacy-de-who_are_you-002 | source-informed-interp-legacy-de-who_are_you-003

de-review-group-003,Bereits teilweise geprüft,Schriftliche Informationen,3,Schicken Sie mir das bitte schriftlich. | Können Sie mir die Unterlagen per Mail senden? | Senden Sie mir erst mal die Infos zu.,"Ja, ich schicke Ihnen die kurze Zusammenfassung per E-Mail.",source-informed-de-send_info-001 | source-informed-de-send_info-002 | source-informed-de-send_info-003

de-review-group-004,Bereits teilweise geprüft,Nur E-Mail,3,"Bitte nur per E-Mail. | Rufen Sie mich nicht an, schicken Sie es per Mail. | Wenn überhaupt, dann per Mail.","Verstanden, dann nur per E-Mail.",source-informed-de-email_only-001 | source-informed-de-email_only-002 | source-informed-de-email_only-003

de-review-group-005,Noch nicht geprüft,Betrugs- oder Zahlungsangst,3,Ich gebe am Telefon keine Bankdaten raus. | Meine Karte gebe ich nicht am Telefon durch. | Zahlungsdaten nenne ich am Telefon grundsätzlich nicht.,Verständlich. Ich frage Sie hier nicht nach Zahlungsdaten oder Passwörtern. Ich schicke Ihnen die Informationen schriftlich.,source-informed-de-payment_safety_fear-001 | source-informed-de-payment_safety_fear-002 | source-informed-de-payment_safety_fear-003

de-review-group-006,Bereits teilweise geprüft,Betrugs- oder Zahlungsangst,3,"Woher weiß ich, dass das seriös ist? | Das klingt für mich ehrlich gesagt unseriös. | Woran erkenne ich, dass das kein Betrug ist?",Verständlich. Ich frage Sie hier nicht nach Zahlungsdaten oder Passwörtern. Ich schicke Ihnen die Informationen schriftlich.,source-informed-de-scam_or_card_fear-001 | source-informed-de-scam_or_card_fear-002 | source-informed-de-scam_or_card_fear-003

de-review-group-007,Noch nicht geprüft,Support,3,Ich habe eigentlich ein Problem mit meinem Vertrag. | Das ist eher ein Support-Thema. | Können Sie mich mit dem Support verbinden?,"Verstanden, das ist ein Fall für den Support. Ich leite Sie dorthin weiter.",source-informed-de-support_issue-001 | source-informed-de-support_issue-002 | source-informed-de-support_issue-003

de-review-group-008,Noch nicht geprüft,Kündigung,3,Ich möchte kündigen. | Ich will meinen Vertrag beenden. | Wie kann ich das kündigen?,"Verstanden, dann leite ich Sie an die zuständige Stelle für Kündigungen weiter.",source-informed-de-cancellation_request-001 | source-informed-de-cancellation_request-002 | source-informed-de-cancellation_request-003

de-review-group-009,Noch nicht geprüft,Technische Frage,6,Lässt sich das mit unserem System verbinden? | Geht das technisch mit unserem CRM? | Da hätte ich eine technische Frage. | Lässt sich das mit unserem System verbinden? | Geht das technisch mit unserem CRM? | Da hätte ich eine technische Frage.,Das sollte eine Fachperson prüfen. Ich leite es entsprechend weiter.,source-informed-de-technical_question-001 | source-informed-de-technical_question-002 | source-informed-de-technical_question-003 | source-informed-interp-de-technical_question-001 | source-informed-interp-de-technical_question-002 | source-informed-interp-de-technical_question-003

de-review-group-010,Noch nicht geprüft,Sicherheitsprüfung,9,Das muss unsere IT-Sicherheit prüfen. | Unsere Security muss da erst drüberschauen. | Haben Sie Unterlagen für die Sicherheitsprüfung? | Das muss unsere IT-Sicherheit prüfen. | Unsere Security muss da erst drüberschauen. | Haben Sie Unterlagen für die Sicherheitsprüfung? | Das muss unsere IT-Sicherheit prüfen. | Unsere Security muss da erst drüberschauen. | Haben Sie Unterlagen für die Sicherheitsprüfung?,Das sollte eine Fachperson prüfen. Ich mache dazu keine allgemeinen Zusagen.,source-informed-de-security_review-001 | source-informed-de-security_review-002 | source-informed-de-security_review-003 | source-informed-interp-de-security_review-001 | source-informed-interp-de-security_review-002 | source-informed-interp-de-security_review-003 | source-informed-interp-legacy-de-security_review-001 | source-informed-interp-legacy-de-security_review-002 | source-informed-interp-legacy-de-security_review-003

de-review-group-011,Noch nicht geprüft,Versicherungsschutz / Gesundheit,6,Ist das in meinem Tarif überhaupt enthalten? | Was genau ist da abgedeckt? | Gilt das auch für meinen Fall? | Ist das in meinem Tarif überhaupt enthalten? | Was genau ist da abgedeckt? | Gilt das auch für meinen Fall?,Dazu darf ich am Telefon keine Beratung geben. Ich leite es an eine Fachperson weiter.,source-informed-de-coverage_confusion-001 | source-informed-de-coverage_confusion-002 | source-informed-de-coverage_confusion-003 | source-informed-interp-de-coverage_confusion-001 | source-informed-interp-de-coverage_confusion-002 | source-informed-interp-de-coverage_confusion-003

de-review-group-012,Noch nicht geprüft,Versicherungsschutz / Gesundheit,6,Geht es hier um medizinische Beratung? | Das ist ein gesundheitliches Thema. | Ich will keine Gesundheitsberatung am Telefon. | Geht es hier um medizinische Beratung? | Das ist ein gesundheitliches Thema. | Ich will keine Gesundheitsberatung am Telefon.,Dazu darf ich am Telefon keine Beratung geben. Ich leite es an eine Fachperson weiter.,source-informed-de-sensitive_healthcare_concern-001 | source-informed-de-sensitive_healthcare_concern-002 | source-informed-de-sensitive_healthcare_concern-003 | source-informed-interp-de-sensitive_healthcare_concern-001 | source-informed-interp-de-sensitive_healthcare_concern-002 | source-informed-interp-de-sensitive_healthcare_concern-003

de-review-group-013,Noch nicht geprüft,Bestehender Anbieter,6,Wir haben schon einen Anbieter. | Das läuft bei uns bereits über jemand anderen. | Unser aktueller Anbieter kümmert sich darum. | Wir haben schon einen Anbieter. | Das läuft bei uns bereits über jemand anderen. | Unser aktueller Anbieter kümmert sich darum.,"Verstehe. Es geht nicht darum, Ihren Anbieter zu ersetzen, sondern nur darum, ob noch Rückrufe oder Nachverfolgungen offen bleiben.",source-informed-de-existing_provider-001 | source-informed-de-existing_provider-002 | source-informed-de-existing_provider-003 | source-informed-interp-de-existing_provider-001 | source-informed-interp-de-existing_provider-002 | source-informed-interp-de-existing_provider-003

de-review-group-014,Noch nicht geprüft,Entscheidung mit Chef oder Partner,3,Das muss ich mit meinem Mann besprechen. | Das muss ich mit meiner Frau abklären. | Ich entscheide das nicht alleine.,Natürlich. Ich schicke Ihnen eine kurze Zusammenfassung zur Prüfung.,source-informed-de-needs_spouse_or_partner_input-001 | source-informed-de-needs_spouse_or_partner_input-002 | source-informed-de-needs_spouse_or_partner_input-003

de-review-group-015,Noch nicht geprüft,Entscheidung mit Chef oder Partner,3,Das muss ich mit meinem Chef abklären. | Da muss mein Vorgesetzter draufschauen. | Das entscheidet bei uns nicht nur ich.,Natürlich. Ich schicke Ihnen eine kurze Zusammenfassung zur Prüfung.,source-informed-de-needs_manager_approval-001 | source-informed-de-needs_manager_approval-002 | source-informed-de-needs_manager_approval-003

de-review-group-016,Noch nicht geprüft,Nächster Schritt,6,"Okay, dann machen wir das so. | Das klingt gut, was ist der nächste Schritt? | Von mir aus können wir weitermachen. | Okay, dann machen wir das so. | Das klingt gut, was ist der nächste Schritt? | Von mir aus können wir weitermachen.","Gut, dann halte ich den nächsten Schritt fest. Bezahlt oder unterschrieben wird hier am Telefon nichts.",source-informed-de-sale_ready_interest-001 | source-informed-de-sale_ready_interest-002 | source-informed-de-sale_ready_interest-003 | source-informed-interp-de-sale_ready_interest-001 | source-informed-interp-de-sale_ready_interest-002 | source-informed-interp-de-sale_ready_interest-003

de-review-group-017,Noch nicht geprüft,Rückruf,3,Rufen Sie nächste Woche nochmal an. | Melden Sie sich später noch mal. | Können Sie mich morgen zurückrufen?,"Ja, ich merke einen Rückruf vor.",source-informed-de-callback_request-001 | source-informed-de-callback_request-002 | source-informed-de-callback_request-003

de-review-group-018,Noch nicht geprüft,Kein Interesse / nicht mehr anrufen,3,"Nein danke, kein Interesse. | Das ist nichts für mich. | Brauche ich nicht.","Verstanden, dann belasse ich es dabei. Auf Wiederhören.",source-informed-de-not_interested-001 | source-informed-de-not_interested-002 | source-informed-de-not_interested-003

de-review-group-019,Noch nicht geprüft,Kein Interesse / nicht mehr anrufen,3,Rufen Sie mich nicht mehr an. | Nehmen Sie meine Nummer aus der Liste. | Ich will keine weiteren Anrufe.,Verstanden. Sie werden hierzu nicht mehr angerufen. Auf Wiederhören.,source-informed-de-hostile_rejection-001 | source-informed-de-hostile_rejection-002 | source-informed-de-hostile_rejection-003

